CUSTOMER_ID,CREATION_DATE,REGIONAL_CODE,ORIGIN
"AA00312188",2005-11-05,11,"WEB"
"AA00312390",2009-01-17,42,"WEB"
"AA00325975",2005-01-04,11,"WEB"
"AA00336843",2014-03-12,11,"WEB"
"AA00339761",2004-02-13,6,"WEB"
"AA00339963",2004-11-06,21,"WEB"
"AA00353548",2008-02-09,3,"WEB"
"AA00361699",2002-03-24,48,"WEB"
"AA00367334",2005-02-07,25,"WEB"
"AA00395109",2005-03-22,13,"WEB"
"AA00403260",2001-05-12,11,"WEB"
"AA00405775",2004-10-19,23,"WEB"
"AA00405977",2007-04-04,42,"WEB"
"AA00414329",2009-07-30,54,"WEB"
"AA00422480",2007-11-25,36,"WEB"
"AA00422682",2004-12-23,36,"PHONE"
"AA00455487",2001-01-01,39,"WEB"
"AA00786363",2013-12-22,11,"WEB"
"AA00962871",2010-09-27,17,"WEB"
"AA00993362",2002-02-26,41,"WEB"
"AA01039954",2002-03-11,46,"STORE"
"AA01053741",2005-12-10,71,"WEB"
"AA01053942",2004-12-22,66,"WEB"
"AA01056659",2008-09-01,43,"WEB"
"AA01062093",2011-10-05,33,"WEB"
"AA01078597",2001-03-26,53,"WEB"
"AA01100736",2010-11-21,35,"PHONE"
"AA01100937",2006-03-23,78,"WEB"
"AA01109088",2005-12-20,28,"WEB"
"AA01393171",2003-10-26,38,"WEB"
"AA01398403",2005-01-21,64,"WEB"
"AA01398605",2006-04-16,64,"STORE"
"AA01489475",2015-03-23,17,"WEB"
"AA01748903",2016-07-21,38,"WEB"
"AA01859195",2013-09-05,30,"STORE"
"AA02912403",2013-12-16,47,"STORE"
"AA03422302",2013-06-02,13,"STORE"
"AA03554934",2015-08-13,56,"STORE"
"AA03855319",2014-12-03,9,"STORE"
"AA04175327",2016-02-18,25,"WEB"
"AA04390275",2015-04-15,64,"STORE"
"AA04470277",2014-05-11,16,"PHONE"
"AA04550279",2018-05-11,40,"PHONE"
"AA04566581",2018-05-19,1,"WEB"
"AA04699012",2017-08-09,16,"STORE"
"AA04748523",2018-08-14,62,"PHONE"
"AA04823292",2015-09-19,26,"PHONE"
"AA04867167",2017-09-20,63,"WEB"
"AA05005234",2016-11-24,12,"STORE"
"AA05032605",2017-11-26,71,"PHONE"
"AA05049109",2015-12-16,46,"PHONE"
"AB00297608",2002-12-15,6,"WEB"
"AB00308476",2012-05-07,2,"STORE"
"AB00338766",2010-04-16,36,"WEB"
"AB00338968",2003-04-01,1,"WEB"
"AB00352754",2005-05-23,3,"STORE"
"AB00360704",2004-11-09,48,"WEB"
"AB00360905",2002-04-03,48,"WEB"
"AB00391195",2009-09-17,10,"WEB"
"AB00405183",2003-05-07,23,"WEB"
"AB00429636",2011-02-19,31,"WEB"
"AB00429838",2008-08-22,31,"WEB"
"AB00435473",2004-01-25,14,"WEB"
"AB00757795",2011-09-13,21,"WEB"
"AB00815658",2002-02-27,46,"WEB"
"AB00917799",2008-12-10,78,"STORE"
